834 2630
64 238 278
747 461 651
552 300 390
422 631 519
627 320 441
564 619 350
572 119 765
795 358 171
367 153 280
589 558 120
582 143 515
586 689 67
432 639 693
672 157 108
536 160 560
234 759 669
423 278 755
261 364 426
174 103 762
552 278 225
790 311 70
601 820 356
476 39 995
654 536 760
237 71 408
732 46 469
625 192 93
770 472 688
407 787 564
761 237 205
535 553 500
668 19 231
819 134 694
131 601 154
738 408 875
27 239 368
438 156 932
521 559 800
547 518 155
111 33 263
517 774 656
603 515 222
548 122 8
188 788 111
277 806 423
14 475 283
831 108 607
730 226 568
283 777 959
143 29 160
822 745 81
179 400 114
158 297 519
776 825 938
337 744 162
86 755 700
357 141 231
114 706 302
128 336 173
176 144 79
376 825 764
530 281 916
590 126 923
524 76 161
57 93 129
335 675 68
308 6 526
627 636 865
587 686 623
714 432 2
695 734 710
760 206 631
768 324 963
820 652 327
512 59 421
410 411 864
832 681 409
719 205 589
42 119 806
262 647 567
212 398 107
819 67 561
665 355 92
182 389 927
165 587 64
662 341 723
698 619 798
354 372 974
18 411 874
149 70 636
166 315 61
533 145 175
392 818 720
645 540 495
183 497 789
157 602 781
815 730 404
222 685 159
197 201 178
126 142 495
334 775 47
705 761 968
827 707 345
289 582 665
759 449 890
318 599 91
834 435 778
220 521 233
333 714 111
82 330 97
402 223 73
62 173 660
205 61 782
542 559 545
115 380 486
306 505 74
465 145 787
187 545 184
662 382 997
17 559 734
440 363 398
536 460 528
283 411 589
739 803 208
377 119 974
784 300 702
355 439 71
646 631 902
237 684 437
199 514 939
97 740 113
568 809 712
678 662 599
230 298 640
302 544 739
695 507 161
589 623 917
490 349 782
573 189 74
56 450 872
651 639 416
671 261 851
154 491 954
414 322 522
798 442 128
786 818 565
490 188 810
153 176 672
105 480 59
163 647 624
99 721 766
35 440 816
211 625 690
359 646 622
603 30 47
289 830 484
770 497 937
738 579 499
182 543 345
638 675 724
516 227 947
65 422 269
762 542 490
486 7 798
564 725 329
492 262 204
616 707 895
512 645 232
764 82 454
624 456 646
396 233 788
827 630 297
625 304 428
368 165 264
43 502 467
189 698 878
613 116 37
133 736 460
80 622 81
645 579 974
636 286 417
580 505 912
551 595 368
472 369 361
362 397 93
168 632 598
785 287 747
180 730 646
103 573 713
503 217 542
750 484 1
309 6 722
552 263 34
766 737 362
101 28 636
689 167 395
307 122 687
335 230 942
9 831 1000
107 198 420
444 242 789
485 631 365
70 764 421
512 806 730
422 105 421
278 257 473
692 560 805
267 325 131
519 794 201
823 151 233
51 4 689
577 520 19
348 511 461
619 765 693
486 173 891
798 786 964
590 365 807
643 589 372
690 560 707
214 73 753
487 309 676
154 659 50
148 653 245
799 350 769
560 332 657
300 255 539
749 562 92
330 138 325
273 177 325
136 26 376
390 479 731
